,Word,Conc.M,Conc.SD
515,apartments,4.71,0.53
516,apartness,2.35,1.02
517,apathy,2.04,1.25
518,ape,4.79,0.79
519,apex,3.41,1.5
520,aphid,4.76,0.72
521,aphrodisiac,3.19,1.47
522,aplenty,2.56,1.36
523,apnea,3.12,1.37
524,apocalypse,2.21,1.5
525,apologist,2.97,1.38
526,apology,2.86,1.67
527,apostle,3.22,1.37
528,apostrophe,3.88,1.53
529,apothecary,3.76,1.42
530,app,3.86,1.15
531,apparatus,3.78,1.2
532,apparel,4.6,0.71
533,apparition,2.46,1.26
534,appeal,1.73,1.26
535,appearance,2.57,1.62
536,appeasement,1.71,1.15
537,appeaser,1.93,1.27
538,appendage,4.26,1.06
539,appendectomy,4.42,1.14
540,appendices,3.48,1.53
541,appendicitis,3.48,1.55
542,appendix,4.25,1.14
543,appetite,2.74,1.35
544,appetizer,4.71,0.71
545,applause,4.29,0.9
546,apple,5.0,0.0
547,applecart,4.92,0.27
548,applesauce,4.96,0.19
549,appliance,4.57,0.94
550,applicability,1.69,1.07
551,applicant,4.0,1.36
552,application,3.4,1.53
553,applicator,4.26,1.2
554,appointee,3.5,1.31
555,appointment,3.0,1.29
556,appraisal,3.11,1.4
557,appraiser,3.62,1.47
558,appreciation,1.63,1.0
559,appreciator,3.0,1.38
560,apprehensibility,1.58,0.9
561,apprehension,1.68,1.06
562,apprentice,3.67,1.21
563,apprenticeship,2.7,1.56
564,approach,2.74,1.35
565,appropriateness,2.07,1.0
566,appropriation,1.96,1.31
567,approval,2.33,1.05
568,approximation,1.85,1.2
569,apricot,4.97,0.18
570,apron,4.87,0.43
571,aptitude,1.54,0.92
572,aquarian,3.62,1.39
573,aquarium,4.77,0.86
574,aquatics,3.43,1.24
575,aqueduct,4.62,0.94
576,aquifer,4.04,1.27
577,arabic,3.43,1.52
578,arachnophobia,2.59,1.43
579,arbitration,2.0,1.21
580,arbitrator,3.2,1.35
581,arcade,4.74,0.53
582,arch,4.59,0.91
583,archaeologist,4.45,0.78
584,archaeology,3.08,1.61
585,archangel,2.93,1.46
586,archbishop,4.14,1.3
587,archdeacon,4.0,1.41
588,archduchess,3.5,1.56
589,archduke,3.93,1.07
590,archenemy,3.11,1.4
591,archery,3.93,1.36
592,arches,4.3,1.03
593,archipelago,3.96,1.51
594,architect,3.74,1.1
595,architecture,3.59,1.31
596,archive,3.58,1.39
597,archives,3.93,1.31
598,archivist,3.57,1.43
599,archway,4.28,1.31
600,area,3.72,1.28
601,arena,4.83,0.47
602,areola,4.78,0.51
603,argon,3.2,1.55
604,argument,2.85,1.13
605,aridity,3.14,1.2
606,aristocracy,2.97,1.38
607,aristocrat,3.76,1.18
608,arithmetic,2.74,1.55
609,ark,4.67,0.68
610,arm,4.96,0.19
611,armada,4.04,1.34
612,armband,4.67,0.78
613,armchair,5.0,0.0
614,armful,3.43,1.43
615,armload,3.54,1.32
616,armoire,4.52,1.12
617,armor,4.76,0.51
618,armory,4.36,1.03
619,armpit,4.8,0.81
620,arms,4.97,0.18
621,army,4.7,0.6
622,aroma,3.67,1.56
623,aromatherapy,3.21,1.11
624,arousal,2.83,1.42
625,arraignment,2.58,1.53
626,arrangement,2.3,1.18
627,arranger,2.81,1.41
628,array,2.54,1.6
629,arrest,3.93,1.22
630,arrestee,4.04,1.25
631,arrhythmia,2.96,1.51
632,arrival,3.07,1.44
633,arrogance,1.74,0.98
634,arrow,4.97,0.19
635,arsenal,3.86,1.13
636,arsenic,4.29,1.46
637,arson,3.66,1.34
638,arsonist,3.96,1.25
639,art,4.17,1.17
640,artery,4.48,0.8
641,arthritis,3.5,1.35
642,artichoke,4.63,1.08
643,article,4.33,1.12
644,articulation,2.65,1.23
645,artifact,4.5,0.9
646,artificiality,2.27,1.31
647,artillery,4.31,1.17
648,artilleryman,4.27,1.22
649,artisan,3.03,1.54
650,artist,4.24,1.06
651,artistry,2.0,1.32
652,arts,3.75,1.35
653,artwork,4.42,0.9
654,arugula,4.08,1.41
655,asbestos,4.52,0.89
656,ascendant,2.24,1.48
657,ascension,2.37,1.19
658,ascent,2.61,1.09
659,ashcan,4.78,0.52
660,ashes,4.92,0.28
661,ashtray,4.97,0.19
662,asker,3.13,1.5
663,asparagus,4.96,0.19
664,aspect,1.82,1.1
665,asphalt,4.83,0.75
666,asphyxia,3.52,1.2
667,asphyxiation,3.63,1.21
668,aspiration,1.81,1.33
669,aspirin,4.76,0.79
670,ass,4.67,0.88
671,assailant,3.96,1.16
672,assassin,4.43,0.96
673,assassination,3.8,1.19
674,assassinator,3.31,1.54
675,assault,3.41,1.32
676,assemblage,3.0,1.3
677,assembly,3.79,1.15
678,assemblyman,3.74,1.43
679,assent,2.64,1.5
680,assertion,2.2,1.22
681,assertiveness,2.1,1.29
682,assessment,2.11,1.19
683,assessor,2.96,1.49
684,asset,2.92,1.32
685,assets,3.52,1.24
686,asshole,4.08,1.23
687,assignment,3.86,1.35
688,assimilation,2.03,1.35
689,assistance,2.25,1.21
690,assistant,4.07,1.36
691,associate,3.41,1.48
692,association,2.3,1.27
693,assortment,2.5,1.39
694,assumption,1.84,1.04
695,assurance,1.76,1.02
696,assuredness,1.59,1.01
697,asterisk,4.0,1.5
698,asteroid,4.86,0.45
699,asthma,3.71,1.44
700,astigmatism,3.15,1.57
701,astonishment,2.92,1.32
702,astringent,3.21,1.44
703,astrobiology,2.32,1.49
704,astrologer,3.78,1.42
705,astrologist,3.87,1.38
706,astrology,2.48,1.58
707,astronaut,4.75,0.65
708,astronautics,2.5,1.4
709,astronomer,4.27,1.36
710,astronomy,3.03,1.5
711,astrophysicist,4.07,1.39
712,astrophysics,3.0,1.47
713,asylum,4.41,1.02
714,asymmetry,2.89,1.5
715,atheism,2.23,1.36
716,atheist,2.93,1.46
717,athlete,4.3,1.1
718,athleticism,1.97,1.02
719,athletics,3.65,1.32
720,atlas,4.79,0.77
721,atmosphere,3.04,1.45
722,atom,3.34,1.59
723,atomics,2.32,1.49
724,atomizer,4.04,1.34
725,atonement,1.44,0.85
726,atrium,4.72,0.74
727,atrocity,2.15,1.12
728,atrophy,2.86,1.43
729,attachment,3.04,1.4
730,attack,3.71,1.18
731,attacker,4.04,1.29
732,attainment,2.13,1.1
733,attempt,2.22,1.09
734,attendance,3.07,1.33
735,attendant,4.44,1.05
736,attendee,3.79,1.4
737,attention,2.3,1.32
738,attentiveness,2.24,1.09
739,attic,4.53,1.17
740,attire,4.47,0.88
741,attitude,1.97,1.02
742,attorney,4.52,0.94
743,attraction,2.24,1.35
