,Word,Conc.M,Conc.SD
11441,scorekeeping,3.38,1.36
11442,scorer,3.45,1.5
11443,scorn,2.59,1.38
11444,scorpion,4.84,0.8
11445,scotch,4.55,1.03
11446,scoundrel,2.93,1.16
11447,scourge,2.31,1.28
11448,scout,4.0,1.1
11449,scoutmaster,4.24,1.36
11450,scouts,4.19,1.11
11451,scowl,3.85,1.35
11452,scrabble,4.47,0.78
11453,scrambler,3.07,1.25
11454,scrap,4.15,1.13
11455,scrapbook,4.76,0.83
11456,scraper,4.23,1.31
11457,scrapheap,4.36,1.11
11458,scrapper,3.5,1.46
11459,scratcher,4.08,1.35
11460,scratches,4.59,0.64
11461,scratchy,2.69,1.51
11462,scrawl,3.92,1.21
11463,screamer,3.5,1.29
11464,screech,3.77,1.41
11465,screechy,3.0,1.59
11466,screen,4.6,1.04
11467,screener,3.19,1.47
11468,screening,3.11,1.34
11469,screenplay,4.41,0.93
11470,screenwriter,4.28,1.21
11471,screwball,3.54,1.5
11472,screwdriver,4.9,0.31
11473,scribbler,3.7,1.23
11474,scribe,4.04,1.24
11475,scrimmage,3.04,1.61
11476,script,4.72,0.59
11477,scripture,3.86,1.41
11478,scriptwriter,4.39,1.1
11479,scroll,4.11,1.1
11480,scrotum,4.87,0.57
11481,scrounger,2.84,1.68
11482,scrubber,4.52,0.95
11483,scrubwoman,4.12,1.33
11484,scruff,3.15,1.54
11485,scruple,1.92,1.02
11486,scrutiny,2.26,1.13
11487,scuba,4.23,0.82
11488,scuff,3.68,1.19
11489,scuffle,3.62,1.21
11490,sculptor,4.09,1.24
11491,sculptress,4.23,1.14
11492,sculpture,4.79,0.5
11493,scum,3.9,1.16
11494,scumbag,3.76,1.35
11495,scurvy,3.43,1.32
11496,scythe,4.29,1.43
11497,sea,4.79,0.49
11498,seabed,4.33,1.07
11499,seaboard,3.68,1.38
11500,seacoast,4.27,1.25
11501,seafarer,3.71,1.49
11502,seafloor,4.69,0.85
11503,seafood,4.83,0.38
11504,seafront,4.45,0.83
11505,seagull,5.0,0.0
11506,seahorse,4.89,0.42
11507,sealant,4.08,1.23
11508,sealer,4.17,0.95
11509,sealskin,4.84,0.47
11510,seam,4.5,0.98
11511,seaman,4.42,0.95
11512,seamanship,2.79,1.25
11513,seamlessness,3.19,1.24
11514,seamstress,4.43,0.92
11515,seance,3.36,1.55
11516,seaplane,4.75,0.52
11517,seaport,4.57,0.74
11518,search,3.0,1.6
11519,searcher,3.93,1.11
11520,searchlight,4.63,0.69
11521,seascape,4.28,0.84
11522,seashell,4.96,0.19
11523,seashore,4.63,1.01
11524,seasickness,3.37,1.64
11525,seaside,4.46,0.79
11526,season,3.32,1.25
11527,seasoning,4.67,0.66
11528,seat,4.78,0.58
11529,seatbelt,4.79,0.77
11530,seating,4.29,1.18
11531,seawall,4.27,1.04
11532,seawater,4.41,1.18
11533,seaweed,4.89,0.42
11534,secession,1.85,1.01
11535,seclusion,2.38,1.15
11536,second,3.3,1.61
11537,secrecy,2.0,1.22
11538,secret,2.19,1.39
11539,secretariat,3.67,1.3
11540,secretary,4.54,0.79
11541,secretion,3.52,1.25
11542,secretiveness,1.7,1.03
11543,sect,3.52,1.18
11544,section,3.24,1.21
11545,sector,3.41,1.18
11546,secularist,2.0,1.26
11547,security,2.82,1.44
11548,sedan,4.72,0.84
11549,sedation,2.87,1.48
11550,sedative,4.56,0.93
11551,sediment,4.0,1.41
11552,sedimentation,3.8,1.32
11553,seducer,2.36,1.25
11554,seduction,2.21,1.23
11555,seductiveness,2.17,1.2
11556,seductress,3.11,1.29
11557,seed,4.71,0.78
11558,seediness,2.04,0.82
11559,seedling,4.56,0.89
11560,seeker,3.44,1.25
11561,seepage,3.65,1.46
11562,seesaw,4.92,0.27
11563,segment,3.4,1.45
11564,segmentation,3.32,1.42
11565,segregation,2.65,1.35
11566,seismograph,4.54,0.95
11567,seismologist,4.04,1.32
11568,seismology,1.93,1.12
11569,seismometer,4.64,0.91
11570,seizure,3.79,1.37
11571,selectee,3.4,1.44
11572,selection,2.34,1.14
11573,selectivity,1.81,0.79
11574,selector,2.92,1.35
11575,self,3.1,1.71
11576,selfishness,1.97,1.05
11577,selflessness,1.43,1.0
11578,seller,3.57,1.53
11579,sellout,2.71,1.33
11580,seltzer,4.2,1.35
11581,semantics,1.7,0.95
11582,semblance,2.0,1.11
11583,semen,4.79,0.77
11584,semester,3.07,1.41
11585,semi,2.74,1.63
11586,semiautomatics,3.6,1.25
11587,semicircle,4.21,1.29
11588,semicolon,4.62,1.1
11589,semiconductor,4.28,1.25
11590,seminar,3.48,1.33
11591,seminary,3.5,1.55
11592,semipro,2.12,1.09
11593,senate,3.81,1.39
11594,senator,4.59,0.73
11595,sender,3.82,1.25
11596,sendoff,2.78,1.34
11597,seniority,2.34,1.32
11598,senorita,4.18,1.01
11599,sensation,2.87,1.5
11600,sensationalism,1.86,1.09
11601,sensationalist,2.41,1.3
11602,sense,2.61,1.45
11603,senselessness,1.58,1.02
11604,sensibility,1.52,0.94
11605,sensitivity,1.77,1.14
11606,sensor,3.96,1.26
11607,sensuality,2.0,1.14
11608,sensuousness,2.04,1.24
11609,sentence,3.57,1.32
11610,sentencing,2.79,1.29
11611,sentiment,2.1,1.35
11612,sentimentalist,2.17,1.24
11613,sentimentality,1.73,1.15
11614,sentinel,3.67,1.24
11615,sentry,4.04,1.12
11616,separateness,2.46,1.18
11617,separation,2.96,1.43
11618,separator,4.19,1.02
11619,sepia,3.86,1.18
11620,septum,4.48,1.02
11621,sequel,2.86,1.6
11622,sequence,3.1,1.26
11623,sequencer,3.48,1.28
11624,sequencing,2.43,1.33
11625,sequester,2.61,1.31
11626,sequestration,2.5,1.48
11627,sequin,4.24,1.39
11628,serenade,3.5,1.41
11629,serendipity,1.62,1.02
11630,serenity,1.62,1.08
11631,serf,3.46,1.5
11632,sergeant,4.7,0.54
11633,serialization,2.07,1.27
11634,series,2.92,1.26
11635,seriousness,1.5,0.82
11636,sermon,3.34,1.49
11637,serotonin,3.69,1.49
11638,serpent,4.97,0.19
11639,serration,3.33,1.46
11640,serum,4.27,1.17
11641,servant,4.64,0.64
11642,server,4.55,0.91
11643,service,2.21,1.26
11644,serviceman,4.57,0.69
11645,servitude,2.32,1.36
11646,sesame,4.5,0.96
11647,session,2.58,1.39
11648,sessions,3.66,1.26
11649,setback,1.97,1.13
11650,settlement,3.07,1.39
11651,settler,4.11,1.15
11652,setup,3.5,1.43
11653,severance,2.68,1.39
11654,severity,1.76,1.09
11655,sewage,4.52,0.99
11656,sewer,4.46,0.96
11657,sewing,4.4,0.97
11658,sex,4.1,0.94
11659,sexiness,2.54,1.17
11660,sexism,1.61,0.92
11661,sexology,2.37,1.45
11662,sexploitation,2.42,1.5
11663,sextant,4.3,1.02
11664,sextet,3.81,1.42
11665,sextuplet,4.52,0.75
11666,sexuality,2.61,1.34
11667,shack,4.93,0.27
11668,shackle,4.34,1.14
11669,shade,3.38,1.27
11670,shading,3.33,1.32
11671,shadow,4.54,0.64
11672,shaft,4.71,0.53
11673,shakedown,2.73,1.37
11674,shaker,4.11,1.26
11675,shakers,4.36,1.19
11676,shakeup,2.78,1.4
11677,shale,3.84,1.52
11678,shallot,4.59,1.01
11679,shallowness,2.27,1.37
11680,shallows,3.33,1.63
11681,sham,3.07,1.66
11682,shaman,4.08,0.95
11683,shamanism,2.15,1.35
11684,shame,2.24,1.46
11685,shamelessness,1.48,0.83
11686,shampoo,4.68,0.72
11687,shamrock,4.89,0.31
11688,shank,4.18,1.09
11689,shanty,3.97,1.27
11690,shantytown,4.15,1.05
11691,shape,3.14,1.51
11692,shard,4.21,1.32
11693,sharecropper,3.88,0.9
11694,shareholder,3.72,1.33
11695,sharer,3.25,1.22
11696,shares,2.66,1.4
11697,shark,4.93,0.37
11698,sharkskin,4.77,0.43
11699,sharpener,4.64,0.68
11700,sharpie,4.69,0.85
11701,sharpness,2.69,1.34
11702,sharpshooter,4.59,0.57
11703,shaver,4.35,0.94
11704,shavings,4.5,0.82
11705,shawl,5.0,0.0
11706,shears,4.61,0.84
11707,sheath,4.48,1.12
11708,sheathing,3.36,1.28
11709,shedder,3.75,1.29
11710,sheep,4.9,0.41
11711,sheepdog,4.72,0.84
11712,sheepherder,4.79,0.49
11713,sheepskin,4.78,0.42
11714,sheet,4.93,0.26
11715,sheetrock,4.86,0.59
11716,sheik,4.6,0.91
11717,shelf,4.96,0.19
11718,shell,4.8,0.82
11719,shellac,4.07,1.12
11720,shellfish,4.53,0.97
11721,shelling,3.17,1.42
11722,shelter,4.64,0.62
11723,shelving,4.67,0.62
11724,shenanigan,2.36,1.25
11725,shepherd,4.67,0.66
11726,shepherdess,4.36,1.03
11727,sherbet,4.83,0.76
11728,sheriff,4.5,0.86
11729,sherry,4.32,1.09
11730,shield,4.66,0.86
11731,shift,2.81,1.3
11732,shifter,3.68,1.36
11733,shilling,4.46,0.98
11734,shimmy,3.81,1.21
11735,shin,4.86,0.45
11736,shinbone,4.8,0.82
11737,shindig,3.52,1.3
11738,shiner,3.79,1.42
11739,shingle,4.82,0.39
11740,shingles,4.47,0.97
11741,ship,4.87,0.34
11742,shipboard,3.93,1.3
11743,shipbuilder,4.62,0.56
11744,shipbuilding,4.63,0.74
11745,shipload,4.19,0.98
11746,shipmate,4.52,0.75
11747,shipment,4.48,0.75
11748,shipper,3.93,1.33
11749,shipping,3.59,1.05
11750,shipwreck,4.3,1.03
11751,shipyard,4.79,0.66
11752,shirt,4.94,0.38
11753,shirtfront,4.43,1.21
11754,shirttail,4.78,0.51
11755,shit,4.33,1.03
11756,shithead,2.26,1.18
11757,shitload,2.96,1.4
11758,shock,4.0,1.07
11759,shocker,2.71,1.33
11760,shockwave,3.78,1.28
11761,shoe,4.97,0.18
11762,shoehorn,4.57,0.92
11763,shoelace,5.0,0.0
11764,shoemaker,4.54,0.58
11765,shoeshine,4.21,0.92
11766,shoestring,4.87,0.43
11767,shooter,4.14,1.04
11768,shootout,3.93,1.07
11769,shop,4.31,1.17
11770,shopkeeper,4.43,1.01
11771,shoplifter,4.32,1.22
11772,shoplifting,3.33,1.49
11773,shopper,4.44,1.12
11774,shopping,3.44,1.37
11775,shoptalk,2.89,1.63
11776,shoreline,4.87,0.35
11777,shortage,2.46,1.32
11778,shortbread,4.56,0.77
11779,shortcake,4.41,1.08
11780,shortcoming,2.17,1.17
11781,shortcut,3.2,1.42
11782,shortfall,2.22,1.48
11783,shorthand,3.57,1.5
11784,shortlist,3.13,1.33
11785,shortness,3.14,1.41
11786,shorts,4.82,0.61
11787,shortsightedness,2.31,1.31
11788,shortstop,4.23,1.1
11789,shortwave,2.85,1.54
11790,shorty,2.88,1.48
11791,shot,4.44,0.89
11792,shotgun,4.96,0.19
11793,shoulder,4.93,0.27
11794,shouter,3.62,1.27
11795,shovel,4.97,0.18
11796,shovelful,3.92,1.1
11797,showbiz,3.48,1.3
11798,showboat,3.67,1.49
11799,showcase,3.39,1.34
11800,showcasing,3.62,1.12
11801,showdown,3.21,1.21
11802,shower,4.89,0.42
11803,showerhead,4.93,0.38
11804,showgirl,4.44,1.09
11805,showman,3.7,1.51
11806,showmanship,2.42,1.28
11807,showpiece,3.83,1.24
11808,showplace,4.07,1.3
11809,showroom,4.54,0.92
11810,showstopper,3.0,1.44
11811,shrapnel,4.57,0.88
11812,shred,4.38,1.06
11813,shredder,4.59,0.64
11814,shrew,4.07,1.27
11815,shrewdness,1.64,0.83
11816,shriek,3.97,1.33
11817,shrimp,4.8,0.76
11818,shrine,4.47,0.98
11819,shrink,3.55,1.35
11820,shrinkage,3.31,1.54
11821,shroud,4.34,1.17
11822,shrub,4.92,0.27
11823,shrubbery,4.89,0.42
11824,shrubs,4.64,1.06
11825,shuffleboard,4.74,0.54
11826,shuffler,3.92,1.32
11827,shuffling,3.25,1.29
11828,shunt,3.5,1.5
11829,shutdown,3.85,1.26
11830,shuteye,3.42,1.44
11831,shutoff,3.57,1.64
11832,shutout,2.9,1.4
11833,shutter,4.38,1.07
11834,shuttering,2.82,1.28
11835,shuttle,4.63,0.74
11836,shyness,2.0,1.12
11837,sibling,4.37,0.89
11838,sickle,4.88,0.33
11839,sickness,3.45,1.4
11840,sickroom,4.12,1.17
11841,side,3.68,1.33
11842,sidearm,4.56,0.92
11843,sidebar,3.21,1.41
11844,sideboard,4.42,1.03
11845,sideburn,4.75,0.65
11846,sideburns,4.96,0.19
11847,sidecar,4.82,0.48
11848,sidekick,3.24,1.46
11849,sideline,3.93,1.36
11850,sides,3.82,1.25
11851,sidesaddle,4.12,1.27
11852,sideshow,4.03,1.24
11853,sideswipe,3.57,1.0
11854,sidewalk,4.96,0.19
11855,sidewall,4.91,0.29
11856,sideway,2.78,1.48
11857,siege,3.18,1.25
11858,siesta,3.89,0.97
11859,sieve,4.59,0.8
11860,sifter,4.64,0.62
11861,sigh,3.89,1.32
11862,sight,3.21,1.23
11863,sighting,3.14,1.27
11864,sightsee,2.82,1.25
11865,sightseeing,3.11,1.58
11866,sigma,2.76,1.54
11867,signage,3.85,1.22
11868,signal,3.86,1.13
11869,signalman,4.33,1.34
11870,signatory,2.65,1.44
11871,signature,4.43,1.14
11872,signboard,4.62,0.75
11873,signer,3.66,1.59
11874,significance,1.68,1.16
11875,signifier,2.42,1.35
11876,signpost,4.63,0.85
11877,silence,3.33,1.64
11878,silencer,4.19,1.13
11879,silhouette,4.57,0.69
11880,silica,4.22,1.12
11881,silicon,4.68,0.67
11882,silicone,4.33,1.14
11883,silk,4.7,0.82
11884,silkworm,4.62,1.01
11885,sill,4.59,0.89
11886,silliness,2.75,1.21
11887,silo,4.3,1.26
11888,silt,4.71,0.53
11889,silver,4.52,0.99
11890,silverback,4.0,1.11
11891,silverfish,4.77,0.51
11892,silversmith,4.38,0.98
11893,silverware,4.66,0.9
11894,similarity,1.9,0.98
11895,simile,2.04,1.31
11896,simpleton,3.12,1.53
11897,simplicity,1.96,1.34
11898,simplification,1.86,1.03
11899,simulation,3.03,1.48
11900,simulator,3.89,1.17
11901,sin,1.85,1.2
11902,sincerity,1.97,1.18
11903,singer,4.62,0.86
11904,singleness,2.48,1.12
11905,singles,3.9,1.21
11906,singsong,2.81,1.33
11907,singularity,2.08,1.23
11908,sink,4.74,0.86
11909,sinker,3.85,1.29
11910,sinkhole,4.48,0.87
11911,sinner,3.07,1.54
11912,sinus,4.27,1.14
11913,sip,4.17,1.12
11914,sipper,3.27,1.49
11915,sir,3.1,1.52
11916,siren,4.45,1.24
11917,sirloin,4.66,0.61
11918,sis,3.75,1.29
11919,sissy,2.63,1.45
11920,sister,4.0,1.36
11921,sisterhood,2.53,1.14
11922,sitcom,3.83,1.26
11923,site,4.56,0.89
11924,sitter,3.89,1.42
11925,situation,2.03,1.15
11926,sixpence,4.45,1.22
11927,size,3.13,1.43
11928,sizes,3.62,1.08
11929,sizzle,3.48,1.15
11930,skateboard,4.86,0.58
11931,skateboarder,4.82,0.39
11932,skater,4.65,0.56
11933,skeet,4.23,1.18
11934,skeleton,4.97,0.19
11935,skeptic,2.31,1.49
11936,skepticism,2.14,1.32
11937,sketch,4.56,0.7
11938,sketchbook,4.79,0.82
11939,sketcher,3.81,1.3
11940,sketchpad,4.86,0.45
11941,skewer,4.46,0.92
11942,ski,4.63,0.63
11943,skid,4.07,1.07
11944,skier,4.32,1.16
11945,skies,4.83,0.76
11946,skiing,4.42,1.17
11947,skill,2.17,1.29
11948,skillet,4.73,0.72
11949,skimmer,3.39,1.5
11950,skin,4.79,0.5
11951,skincare,3.39,1.34
11952,skinhead,4.04,1.17
11953,skirmish,2.69,1.38
11954,skirt,4.82,0.67
11955,skirting,3.5,1.18
11956,skit,3.86,1.19
11957,skittle,4.12,1.4
11958,skittles,4.93,0.27
11959,skull,4.83,0.75
11960,skullcap,4.54,1.18
11961,skunk,4.88,0.43
11962,sky,4.45,1.12
11963,skydiver,4.78,0.42
11964,skylight,4.79,0.49
11965,skyline,4.43,0.92
11966,skyrocket,3.73,1.08
11967,skyscraper,4.76,0.83
11968,slab,4.29,0.9
11969,slack,3.15,1.56
11970,slackness,2.31,1.35
11971,slacks,4.57,0.94
11972,slammer,3.46,1.41
11973,slander,2.33,1.35
11974,slang,2.48,1.5
11975,slant,3.08,1.47
11976,slapper,3.23,1.48
11977,slapstick,2.93,1.41
11978,slat,4.04,1.17
11979,slate,4.58,0.86
11980,slaughter,3.68,1.36
11981,slaughterer,3.7,1.23
11982,slaughterhouse,4.83,0.46
11983,slave,4.38,0.9
11984,slaveholder,4.14,1.33
11985,slaver,3.54,1.42
11986,slavery,3.11,1.42
11987,slaw,4.64,0.87
11988,slayer,3.89,1.2
11989,sleaze,2.41,1.05
11990,sleazebag,3.18,1.36
11991,sledge,4.11,1.42
11992,sledgehammer,4.89,0.42
11993,sleeper,3.4,1.16
11994,sleepiness,2.85,1.68
11995,sleeplessness,2.77,1.5
11996,sleepover,3.39,1.55
11997,sleepwalker,4.38,0.94
11998,sleepwear,4.89,0.31
11999,sleepyhead,3.39,1.4
12000,sleet,4.78,0.58
12001,sleeve,4.84,0.45
12002,sleigh,4.71,0.81
12003,sleight,2.68,1.47
12004,sleuth,3.07,1.39
12005,slice,3.85,1.2
12006,slicer,4.72,0.53
12007,slick,3.69,1.17
12008,slicker,3.38,1.39
12009,slider,3.68,1.56
12010,slideshow,4.53,0.94
12011,slightness,2.11,1.31
12012,slime,4.48,0.83
12013,sling,4.52,0.72
12014,slingshot,4.87,0.35
12015,slipcover,4.69,0.89
12016,slipknot,4.68,0.75
12017,slippage,2.86,1.21
12018,slipper,4.86,0.44
12019,slipstream,2.71,1.61
12020,slipup,2.21,1.11
12021,sliver,3.88,1.39
12022,slob,3.22,1.48
12023,slobber,4.33,0.96
12024,slogan,3.03,1.43
12025,slop,3.44,1.5
12026,slope,4.07,1.21
12027,sloppiness,2.97,1.21
12028,slosh,2.84,1.28
12029,slot,4.45,1.18
12030,sloth,4.83,0.54
12031,slothfulness,2.15,1.19
12032,slouchy,3.29,1.23
12033,slowdown,2.5,1.44
12034,slowness,2.62,1.4
12035,sludge,4.23,0.94
12036,slug,4.64,0.91
12037,slugger,3.15,1.41
12038,slum,4.03,0.98
12039,slumber,3.32,1.49
12040,slumlord,3.69,1.32
12041,slump,3.32,1.52
12042,slur,3.31,1.54
12043,slurp,3.83,1.17
12044,slurry,2.76,1.27
12045,slush,4.04,1.13
12046,slut,3.19,1.36
12047,smallness,2.2,1.21
12048,smallpox,4.25,1.08
12049,smalltime,1.92,1.16
12050,smartass,2.72,1.53
12051,smartness,2.0,1.21
12052,smasher,3.62,1.17
12053,smashup,3.48,1.5
12054,smear,3.66,1.37
12055,smeller,3.88,1.01
12056,smelting,3.5,1.3
12057,smidge,2.21,1.28
12058,smidgen,3.0,1.47
12059,smile,4.5,0.75
12060,smiley,3.93,1.31
12061,smirk,4.32,1.09
12062,smithereens,2.64,1.42
12063,smiting,3.12,1.39
12064,smock,4.78,0.6
12065,smog,4.14,1.22
12066,smokehouse,4.32,1.28
12067,smoker,4.59,0.73
12068,smokescreen,3.77,1.34
12069,smokestack,4.73,0.96
12070,smooches,4.08,1.35
12071,smoothie,4.62,0.8
12072,smoothness,3.87,1.07
12073,smorgasbord,3.48,1.37
12074,smudge,4.5,0.78
12075,smuggler,4.31,1.12
12076,smugness,1.96,1.1
12077,smut,3.14,1.46
12078,snack,4.36,1.03
12079,snaggletooth,4.2,1.19
12080,snail,4.93,0.27
12081,snails,4.82,0.48
12082,snake,5.0,0.0
12083,snakebite,4.7,0.53
12084,snakeskin,4.72,0.84
12085,snapdragon,4.32,1.36
12086,snapper,4.52,0.95
12087,snappishness,1.86,1.04
12088,snapshot,4.68,0.63
12089,snare,3.9,1.54
12090,snarl,4.0,1.22
12091,snatcher,3.6,1.47
12092,sneaker,4.69,0.93
12093,sneakiness,2.0,1.2
12094,sneer,3.65,1.29
12095,sneezer,3.88,1.09
12096,snicker,3.89,1.2
12097,sniffer,3.65,1.35
12098,sniffle,3.79,1.21
12099,sniffy,2.44,1.23
12100,snipe,3.37,1.55
12101,sniper,4.55,0.87
12102,snippet,3.3,1.41
12103,snippety,2.09,1.02
12104,snitch,3.85,1.38
12105,snitcher,2.73,1.28
12106,snob,2.7,1.44
12107,snobbery,1.74,0.9
12108,snooper,3.12,1.36
12109,snoozer,3.23,1.58
12110,snorer,4.23,0.99
12111,snorkel,4.56,0.85
12112,snorkeler,4.53,0.86
12113,snort,4.18,0.9
12114,snot,4.48,1.12
12115,snout,4.89,0.42
12116,snow,4.85,0.37
12117,snowball,4.93,0.25
12118,snowbird,4.67,0.71
12119,snowboard,4.86,0.59
12120,snowboarder,4.61,0.69
12121,snowcap,4.48,1.02
12122,snowdrift,4.78,0.64
12123,snowfall,4.66,0.55
12124,snowflake,4.76,0.6
12125,snowman,4.64,0.78
12126,snowmobile,4.81,0.62
12127,snowplow,4.97,0.19
12128,snowstorm,4.86,0.44
12129,snowsuit,5.0,0.0
12130,snub,2.41,1.15
12131,snuffbox,4.54,0.98
12132,soap,4.93,0.26
12133,soapbox,3.96,1.25
12134,sob,3.79,1.4
12135,soberness,2.0,1.23
12136,sobriety,2.52,1.16
12137,soccer,4.76,0.58
12138,sociability,1.76,0.88
12139,socialism,2.21,1.18
12140,socialite,3.93,1.33
12141,socialization,1.79,0.92
12142,society,2.54,1.48
12143,sociologist,3.96,1.26
12144,sociology,1.79,1.11
12145,sociopath,2.5,1.37
12146,sock,4.91,0.43
12147,socket,4.32,1.22
12148,sod,4.62,0.77
12149,soda,4.97,0.19
12150,sodium,4.21,1.29
12151,sodomy,3.64,1.41
12152,sofa,4.9,0.4
12153,softball,4.89,0.31
12154,softener,3.38,1.42
12155,softie,1.96,1.19
12156,softness,3.1,1.56
12157,software,4.08,1.29
12158,softwood,3.92,1.32
12159,softy,2.38,1.36
12160,soil,4.87,0.43
12161,sojourner,2.6,1.47
12162,solace,2.04,1.26
12163,solarium,4.04,1.27
12164,soldier,4.72,0.59
12165,solemnity,1.88,0.8
12166,soles,4.17,1.34
12167,solicitation,2.96,1.43
12168,solicitor,3.92,1.38
12169,solidarity,1.9,0.98
12170,solidity,3.32,1.22
12171,soliloquy,2.72,1.28
12172,solitaire,3.7,1.56
12173,solitude,2.07,1.27
12174,solo,2.79,1.71
12175,soloist,3.92,1.29
12176,solstice,3.1,1.4
12177,solution,2.61,1.45
12178,solvency,1.89,1.09
12179,solvent,3.7,1.35
12180,solver,3.0,1.39
12181,sombrero,4.7,0.93
12182,somersault,4.79,0.49
12183,someway,1.24,0.52
12184,son,4.14,1.27
12185,sonar,3.81,1.23
12186,sonata,3.7,1.44
12187,song,4.46,0.95
12188,songbird,4.59,0.75
12189,songbook,4.63,0.85
12190,songwriter,4.33,0.92
12191,songwriting,3.53,1.11
12192,sonnet,3.9,1.29
12193,sonogram,4.48,0.83
12194,sons,4.43,1.17
12195,soot,4.61,0.79
12196,sooth,2.11,1.07
12197,sophisticate,1.93,1.12
12198,sophistication,1.92,1.04
12199,sophomore,3.45,1.35
12200,soprano,4.11,1.31
12201,sorbet,4.43,1.1
12202,sorcerer,4.47,1.07
12203,sorceress,3.79,1.2
12204,sorcery,2.0,1.11
12205,sordidness,1.6,0.76
12206,soreness,3.5,1.26
12207,sorority,3.48,1.18
12208,sorrow,2.36,1.39
12209,sorter,3.97,1.32
12210,souffle,4.57,0.9
12211,soul,1.86,1.33
12212,soulfulness,1.79,1.11
12213,soulmate,2.59,1.67
12214,soundings,2.46,1.4
12215,soundness,2.35,1.2
12216,soundtrack,4.34,0.97
12217,soup,4.72,0.75
12218,source,2.96,1.48
12219,sourdough,4.66,0.61
12220,sourpuss,2.73,1.56
12221,south,3.84,1.27
12222,southeast,3.8,1.42
12223,southerner,3.67,1.49
12224,southpaw,3.78,1.41
12225,southwest,3.25,1.38
12226,souvenir,4.45,0.99
12227,sovereign,2.04,1.37
12228,sovereignty,2.76,1.48
12229,spa,4.67,0.92
12230,space,3.54,1.48
12231,spacecraft,4.8,0.55
12232,spaceman,4.68,0.94
12233,spacer,3.68,1.57
12234,spaceship,4.48,0.99
12235,spacesuit,4.96,0.2
12236,spacing,3.15,1.41
12237,spackle,4.41,1.01
12238,spade,4.46,1.07
12239,spades,4.53,0.9
12240,spaghetti,5.0,0.0
12241,spam,4.18,1.16
12242,span,3.0,1.33
12243,spandex,4.97,0.19
12244,spaniel,4.7,0.63
12245,spanking,4.28,1.16
12246,sparerib,4.28,1.34
12247,spareribs,4.76,0.58
12248,spark,4.25,1.17
12249,sparkle,3.81,1.01
12250,sparkler,4.68,0.61
12251,sparkplug,4.92,0.28
12252,sparks,4.39,0.96
12253,sparring,3.69,1.31
12254,spasm,4.07,1.11
12255,spatter,3.63,1.47
12256,spatula,4.96,0.2
12257,spawn,3.9,1.09
12258,spawning,2.93,1.6
12259,speakeasy,3.59,1.45
12260,speaker,4.69,0.76
12261,speakerphone,4.69,0.88
12262,speakers,4.93,0.26
12263,spear,5.0,0.0
12264,spearfish,4.69,0.84
12265,spearman,4.42,1.06
12266,spearmint,4.7,0.67
12267,spec,2.9,1.41
12268,specialist,3.0,1.56
12269,speciality,2.39,1.34
12270,specialization,2.57,1.45
12271,specialness,1.52,0.79
12272,specialty,2.43,1.26
12273,species,3.36,1.47
12274,specification,2.45,1.3
12275,specificity,1.88,1.2
12276,specifics,1.97,1.09
12277,specimen,4.45,0.87
12278,speck,4.46,0.9
12279,specks,3.71,1.61
12280,specs,3.04,1.51
12281,spectacle,3.45,1.5
12282,spectacles,4.56,1.12
12283,spectator,4.07,1.14
12284,specter,3.04,1.65
12285,spectrogram,4.3,0.92
12286,spectrograph,4.0,1.3
12287,spectrometer,4.48,1.05
12288,spectroscope,4.0,1.53
12289,spectrum,2.97,1.64
12290,speculation,2.15,1.43
12291,speculator,3.41,1.42
12292,speech,3.37,1.69
12293,speechmaker,4.5,0.76
12294,speechwriter,3.9,1.21
12295,speed,3.62,1.29
12296,speedball,4.04,1.27
12297,speedboat,4.87,0.51
12298,speeder,3.62,1.13
12299,speedometer,4.78,0.8
12300,speedster,3.5,1.42
12301,speedway,4.57,0.68
12302,spell,3.32,1.36
12303,spellbinder,2.59,1.42
12304,spellcheck,3.39,1.4
12305,speller,3.07,1.39
12306,spelling,3.63,1.33
12307,spender,3.48,1.6
12308,spendthrift,2.92,1.56
12309,sperm,4.82,0.61
12310,sphere,4.44,0.93
12311,sphinx,4.83,0.76
12312,spice,4.54,0.65
12313,spices,4.66,0.67
12314,spider,4.97,0.18
12315,spiderman,4.28,1.21
12316,spiderweb,4.7,0.88
12317,spidery,2.46,1.24
12318,spigot,4.36,1.25
12319,spillage,3.9,1.26
12320,spillover,3.85,1.13
12321,spinach,4.77,0.73
12322,spindle,4.92,0.28
12323,spindling,2.83,1.31
12324,spine,4.88,0.44
12325,spinelessness,2.0,1.19
12326,spinner,3.83,1.23
12327,spinout,3.59,1.37
12328,spinster,3.58,1.36
12329,spiral,4.18,0.9
12330,spire,4.0,1.48
12331,spirit,1.6,1.04
12332,spirits,3.41,1.45
12333,spiritualism,1.81,0.94
12334,spiritualist,2.38,1.32
12335,spirituality,1.07,0.37
12336,spitball,4.37,1.11
12337,spitfire,2.86,1.33
12338,spittle,4.52,0.89
12339,spittoon,4.7,0.95
12340,splash,4.19,1.0
12341,splashdown,3.6,1.32
12342,spleen,4.7,0.61
12343,splendor,1.59,0.69
12344,splicer,4.16,1.34
12345,splint,4.69,0.85
12346,splinter,4.41,0.95
12347,splitter,4.14,1.16
12348,spoiler,2.93,1.51
12349,spoils,2.83,1.34
12350,spoilsport,2.55,1.41
12351,spokesman,4.11,0.93
12352,spokesperson,3.89,1.19
12353,spokeswoman,4.55,0.83
12354,sponge,5.0,0.0
